id,name,shortcut
title_mr,นาย,นาย
title_mrs,นาง,นาง
title_ms,นางสาว,น.ส.
title_miss,เด็กหญิง,ด.ญ.
title_master,เด็กชาย,ด.ช.
title_dr,ดร.,ดร.
title_prof,ศาสตราจารย์,ศ.
title_assoc_prof,รองศาสตราจารย์,รศ.
title_asst_prof,ผู้ช่วยศาสตราจารย์,ผศ.
title_pol_lt_gen,พลตำรวจโท,พล.ต.ท.
title_pol_maj_gen,พลตำรวจตรี,พล.ต.ต.
title_pol_col,พันตำรวจเอก,พ.ต.อ.
title_pol_lt_col,พันตำรวจโท,พ.ต.ท.
title_pol_maj,พันตำรวจตรี,พ.ต.ต.
title_pol_capt,ร้อยตำรวจเอก,ร.ต.อ.
title_pol_lt,ร้อยตำรวจโท,ร.ต.ท.
title_pol_sub_lt,ร้อยตำรวจตรี,ร.ต.ต.
title_gen,พลเอก,พล.อ.
title_lt_gen,พลโท,พล.ท.
title_maj_gen,พลตรี,พล.ต.
title_col,พันเอก,พ.อ.
title_lt_col,พันโท,พ.ท.
title_maj,พันตรี,พ.ต.
title_capt,ร้อยเอก,ร.อ.
title_lt,ร้อยโท,ร.ท.
title_sub_lt,ร้อยตรี,ร.ต.
title_sgt_maj,จ่าสิบเอก,จ.ส.อ.
title_sgt,สิบเอก,ส.อ.
title_navy_admiral,พลเรือเอก,พล.ร.อ.
title_navy_vice_admiral,พลเรือโท,พล.ร.ท.
title_navy_rear_admiral,พลเรือตรี,พล.ร.ต.
title_navy_captain,นาวาเอก,น.อ.
title_navy_commander,นาวาโท,น.ท.
title_navy_lt_commander,นาวาตรี,น.ต.
title_navy_lt,เรือเอก,ร.อ.
title_navy_sub_lt,เรือโท,ร.ท.
title_navy_ensign,เรือตรี,ร.ต.
title_air_chief_marshal,พลอากาศเอก,พล.อ.อ.
title_air_marshal,พลอากาศโท,พล.อ.ท.
title_air_vice_marshal,พลอากาศตรี,พล.อ.ต.
title_group_captain,นาวาอากาศเอก,น.อ.
title_wing_commander,นาวาอากาศโท,น.ท.
title_squadron_leader,นาวาอากาศตรี,น.ต.
title_flt_lt,เรืออากาศเอก,ร.อ.
title_flying_officer,เรืออากาศโท,ร.ท.
title_pilot_officer,เรืออากาศตรี,ร.ต.
title_mr_phra,พระ,พระ
title_phra_khru,พระครู,พระครู
title_phra_ajarn,พระอาจารย์,พระอาจารย์
title_samanen,สามเณร,สามเณร
title_khunying,คุณหญิง,คุณหญิง
title_mom_rajawongse,หม่อมราชวงศ์,ม.ร.ว.
title_mom_luang,หม่อมหลวง,ม.ล.
title_mom,หม่อม,หม่อม
title_than_phuying,ท่านผู้หญิง,ท่านผู้หญิง
title_ajarn,อาจารย์,อ.
title_doctor,แพทย์หญิง,พญ.
title_nai_phaet,นายแพทย์,นพ.
title_veterinarian,สัตวแพทย์,สพ.
title_veterinarian_female,สัตวแพทย์หญิง,สพญ.
title_pharmacist,เภสัชกร,ภก.
title_dentist,ทันตแพทย์,ทพ.
title_dentist_female,ทันตแพทย์หญิง,ทพญ.
title_lawyer,ทนายความ,ทนาย
title_general_person,คุณ,คุณ
